,Unnamed: 0.1,Unnamed: 0,uri,ms,origin,origin_prev_ms
2396,2,,0257IbnCabdHakam.FutuhMisr,384,0911Suyuti.HusnMuhadara.108,True
2397,3,,0257IbnCabdHakam.FutuhMisr,384,0911Suyuti.HusnMuhadara.109,True
248,248,282.0,0257IbnCabdHakam.FutuhMisr,385,self,False
1548,0,,0257IbnCabdHakam.FutuhMisr,385,0634AbuRabicHimyari.Iktifa.1011,False
1549,1,,0257IbnCabdHakam.FutuhMisr,385,0911Suyuti.HusnMuhadara.108,False
1550,2,,0257IbnCabdHakam.FutuhMisr,385,0911Suyuti.HusnMuhadara.109,False
1551,3,,0257IbnCabdHakam.FutuhMisr,385,0911Suyuti.HusnMuhadara.111,False
1553,5,,0257IbnCabdHakam.FutuhMisr,385,0911Suyuti.HusnMuhadara.107,True
1554,6,,0257IbnCabdHakam.FutuhMisr,385,0911Suyuti.HusnMuhadara.108,True
1555,7,,0257IbnCabdHakam.FutuhMisr,385,0911Suyuti.HusnMuhadara.110,True
249,249,283.0,0257IbnCabdHakam.FutuhMisr,386,self,False
1620,0,,0257IbnCabdHakam.FutuhMisr,386,0911Suyuti.HusnMuhadara.110,False
1621,1,,0257IbnCabdHakam.FutuhMisr,386,0911Suyuti.HusnMuhadara.109,True
250,250,284.0,0257IbnCabdHakam.FutuhMisr,387,self,False
2055,0,,0257IbnCabdHakam.FutuhMisr,387,0634AbuRabicHimyari.Iktifa.1011,False
2056,1,,0257IbnCabdHakam.FutuhMisr,387,0911Suyuti.HusnMuhadara.111,False
2057,2,,0257IbnCabdHakam.FutuhMisr,387,0911Suyuti.HusnMuhadara.110,True
251,251,285.0,0257IbnCabdHakam.FutuhMisr,388,self,False
1193,3,,0257IbnCabdHakam.FutuhMisr,388,0930IbnIyas.NuzhatUmam.156,False
717,717,766.0,0350MuhammadKindi.FadailMisr,388,self,False
252,252,286.0,0257IbnCabdHakam.FutuhMisr,433,self,False
253,253,287.0,0257IbnCabdHakam.FutuhMisr,468,self,False
721,721,770.0,0350MuhammadKindi.FadailMisr,468,self,False
795,795,844.0,0347IbnYunusSadafi.Tarikh,468,self,False
