,reuser,ms_count
219,0414AbuHayyanTawhidi.Basair,2
220,0421AbuSacdAbi.NathrDurr,2
239,0548IbnHasanTabarsi.IclamWara,2
100,0629CabdLatifBaghdadi.IfadaWaIctibar,2
236,0664IbnHatimCamiliShami.DurrNazim,2
224,0505Ghazali.Fadaih,2
235,0508FattalNaysaburi.RawdatWacizin,2
228,0955MuhammadKarakiHairi.TasliyatMujalis,2
229,0314IbnActhamKufi.Futuh,2
108,0548IbnHasanTabarsi.TafsirMajmacBayan,2
186,0474IbnKhalafBaji.TacdilWaTajrih,2
187,0852IbnHajarCasqalani.FathBari,2
230,0588IbnShahrAshub.ManaqibAlAbiTalib,2
244,0660IbnCadim.TarjamatHusayn,2
194,0645TilimsaniBurri.Jawhara,2
203,0292Yacqubi.Buldan,2
195,0470IbnMandaCabdRahman.Mustakhraj,2
196,0256Bukhari.TarikhKabir,2
197,0664IbnTawus.IqbalAcmal,2
198,0902Sakhawi.IclanBiTawbikh,2
193,0911Suyuti.Tawshih,2
192,0831ShamsDinBirmawi.Lamic,2
247,0279Baladhuri.AnsabAshraf,2
246,0157AbuMikhnafAzdi.WaqcatTaff,2
191,0517AbuNucaymHaddadIsbahani.JamicSahihayn,2
190,0240IbnKhayyatCusfuri.Tarikh,2
251,0725BaybarsMansuri.MukhtarAkhbar,2
199,0911Suyuti.Shamarikh,2
225,0460Anonymous.DhakhairTuhaf,3
67,0911Suyuti.TarikhKhulafa,3
168,0681IbnKhallikan.WafayatAcyan,3
64,0656IbnAbiHadid.SharhNahjBalagha,3
326,0816IbnMuhammadSharifJurjani.SharhMawaqif,3
328,0631SayfDinAmidi.AbkarAfkar,3
56,0458AbuYaclaIbnFarra.AhkamSultaniyya,3
223,0429IbnTahirBaghdadi.FarqBaynaFiraq,3
337,0324Ashcari.MaqalatIslamiyyin,3
340,0562Samcani.Ansab,3
162,0420Musabbihi.AkhbarMisr,3
161,0775IbnAbiWafa.JawahirMudiya,3
45,0850ShihabDinIbshihi.Mustatraf,3
360,0953IbnTulun.InbaUmara,3
31,0600KatibMarrakushi.Istibsar,3
201,0262CumarIbnShabba.TarikhMadina,3
34,0360Tabarani.MucjamKabir,3
17,0300IbnRusta.AclaqNafisa,3
253,0665AbuShama.Rawdatayn,3
299,0814IbnZayyat.KawakibSayyara,3
177,0815Ghuzuli.MatalicBudur,3
89,0300IbnKhurdadhbih.MasalikWaMamalik,3
174,0668IbnAbiUsaybica.CuyunAnba,3
95,0808MuhammadDamiri.HayatHayawanKubra,3
97,0911Suyuti.TuhfatKiram,3
98,0855BadrDinCayni.SayfMuhannad,3
243,0568MuwaffaqKhwarazmi.MaqtalHusayn,3
297,0832TaqiFasi.Muqnic,3
269,0852IbnHajarCasqalani.RafcIsr,3
245,0157AbuMikhnafAzdi.MaqtalHusayn,3
87,0385IbnNadim.Fihrist,3
264,0911Suyuti.HawiLiFatawi,3
238,0413ShaykhMufid.Irshad,3
261,0852IbnHajarCasqalani.InbaGhumr,3
101,0745AbuHayyanGharnati.TafsirBahrMuhit,3
180,0730ShaficIbnCali.HusnManaqib,3
107,0671AbuCabdAllahQurtubi.JamicLiAhkamQuran,3
24,0360HamzaIsfahani.TarikhSini,4
387,0479MurshidYahyaJurjani.AmaliIthnayniyya,4
260,0927Nucaymi.DarisFiMadaris,4
259,0852IbnHajarCasqalani.DurarKamina,4
134,0405HakimNaysaburi.Mustadrak,4
257,0832TaqiFasi.CiqdThamin,4
217,0626YaqutHamawi.MucjamUdaba,4
286,0739ShamsDinJazari.HawadithZaman,4
54,0450AbuHasanMawardi.AhkamSultaniyya,4
138,0928MujirDinCulaymi.FathRahman,4
386,0500Anonymous.CuyunWaHadaiq,4
200,0928MujirDinCulaymi.TarikhMuctabar,4
75,0774IbnKathir.MusnadCumarIbnKhattab,4
221,0542IbnMunjibTajRiyasaIbnSayrafi.Ishara,4
296,0874IbnTaghribirdi.MawridLatafa,4
167,0768Yafici.MiratJinan,4
79,0909IbnMabrid.MahdSawab,4
181,0456IbnHazm.FisalFiMilal,4
170,0927Culaymi.UnsJalil,4
60,0911Suyuti.JamicKabir,4
166,0947BamakhramaHimyari.QiladatNahr,4
58,0367IbnHawqal.SuratArd,4
312,0456IbnHazm.IhkamFiUsulAhkam,4
110,0900IbnCabdMuncimHimyari.RawdMictar,5
209,0470MuayyadFiDinShirazi.Sira,5
103,0930IbnIyas.BadaicZuhur,5
2,0902Sakhawi.DawLamic,5
105,0346Mascudi.TanbihWaIshraf,5
96,0649MuhammadIdrisi.Anwar,5
39,0257IbnCabdHakam.FutuhMisr,5
278,0615MuwaffaqDinShafici.MurshidZuwwar,5
9,0375IkhwanSafa.Rasail,6
25,0375AnonymousTranslator.TarikhCalamUrusiyus,6
204,0347IbnYunusSadafi.Tarikh,6
82,0845Maqrizi.Bayan,6
298,0759MufaddalIbnAbiFadail.NahjSadid,6
222,0617IbnTuwayr.NuzhatMuqlatayn,7
165,0697IbnWasil.MufarrijKurub,7
263,0843IbnKhatibNasiriyya.DurrMuntakhab,7
215,0692IbnCabdZahir.RawdaBahiyya,7
270,0855BadrDinCayni.CiqdJuman,7
65,0748Dhahabi.SiyarAclamNubala,7
44,0440AbuRayhanBiruni.AtharBaqiya,8
22,0660IbnCadim.BughyatTalab,8
23,0400IbnTahirMaqdisi.BadWaTarikh,8
74,0749ZaynDinIbnWardi.Tarikh,9
77,0732AbuFida.MukhtasarFiAkhbar,9
173,0548Shahrastani.MilalWaNihal,9
171,0809IbnDuqmaq.NuzhatAnam,9
91,0692IbnCabdZahir.RawdZahir,10
237,0421Miskawayh.Tajarib,10
182,0711IbnManzurIfriqi.MukhtasarTarikhDimashq,11
179,0764IbnShakirKutubi.FawatWafayat,11
11,0626YaqutHamawi.MucjamBuldan,12
211,0677IbnMuyassar.AkhbarMisr,12
70,0821Qalqashandi.Maathir,12
164,0807IbnFurat.TarikhDuwal,13
169,0726Yunini.DhaylMiratZaman,13
178,0774IbnKathir.Bidaya,13
202,0350Balawi.SiratAhmadIbnTulun,13
93,0571IbnCasakir.TarikhDimashq,13
48,0588IbnMamun.AkhbarMisr,14
256,0874IbnTaghribirdi.ManhalSafi,17
13,0597IbnJawzi.Muntazam,18
163,0808IbnKhaldun.Tarikh,18
16,0487AbuCubaydBakri.MasalikWaMamalik,18
69,0310Tabari.Tarikh,19
72,0630IbnAthirCizzDin.Kamil,21
29,0596IbnWasifShah.MukhtasarCajaibDunya,21
61,0748Dhahabi.TarikhIslam,21
14,0654SibtIbnJawzi.MiratZaman,22
216,0889IbnAhmadSakhawi.TuhfatAhbab,31
3,0845Maqrizi.DurarCuqud,33
30,0600PseudoMascudi.AkhbarZaman,35
15,0736IbnDawadari.KanzDurar,36
255,0764Safadi.AcyanCasr,38
37,0911Suyuti.HusnMuhadara,42
10,0749IbnFadlAllahCumari.MasalikAbsar,48
90,0764Safadi.WafiBiWafayat,53
53,0821Qalqashandi.SubhAcsha,57
47,0350MuhammadKindi.WulatMisr,63
7,0845Maqrizi.KhabarCanBashar,71
50,0845Maqrizi.Suluk,84
28,0874IbnTaghribirdi.NujumZahira,84
49,0845Maqrizi.ItticazHunafa,90
0,0845Maqrizi.MusawwadatMawaciz,91
8,0733Nuwayri.NihayatArab,96
81,0845Maqrizi.Muqaffa,120
1,0930IbnIyas.NuzhatUmam,145
415,None,562
