,section,book,start,end,first_ms,book2,ms2,section2
95,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,520,529,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
96,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,535,538,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
97,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,539,542,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
98,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,542,543,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
99,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,550,555,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
100,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,555,556,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
101,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,557,560,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
102,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,568,571,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
103,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,578,581,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
104,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,584,588,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
105,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,591,620,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
106,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,620,621,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
107,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,623,629,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
108,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,632,647,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
109,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,1,5,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
110,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,5,65,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
111,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,65,67,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
112,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,78,88,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
113,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,88,93,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
114,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,95,96,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
115,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,96,110,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
116,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,110,111,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
117,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,111,129,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
118,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,129,133,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
119,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,133,134,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
120,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,135,137,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
121,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,137,148,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
122,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,158,166,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
123,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,166,167,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
124,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,173,174,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
125,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,174,230,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
126,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,231,234,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
127,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,256,258,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
128,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,258,269,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
129,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,269,270,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
130,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,270,271,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
131,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,271,273,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
132,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,273,274,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
133,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,274,281,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
134,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,281,288,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
135,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,295,298,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
136,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,300,304,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
137,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,318,322,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
138,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,331,334,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
139,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,335,339,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
140,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,339,354,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
141,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,354,358,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
142,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,358,367,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
143,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,367,372,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
144,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,372,377,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
145,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,384,387,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
146,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,389,393,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
147,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,397,400,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
148,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,400,403,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
149,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,411,416,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
150,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,416,420,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
151,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,445,449,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
152,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,452,453,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
153,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,453,478,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
154,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,484,490,1467,0660IbnCadim.BughyatTalab,2117,### $ الحسين بن علي بن نصر:
