,section,book,start,end,first_ms,book2,ms2,section2,rid
2642,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,317,325,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2643,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,326,328,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2644,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,328,381,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2645,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,389,396,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2646,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,400,408,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2647,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,417,449,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2648,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,449,453,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2649,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,457,460,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2650,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,473,476,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2651,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,0,7,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2652,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,7,9,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2653,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,10,11,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2654,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,11,16,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2655,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,75,79,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
2656,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,79,82,1361,0660IbnCadim.BughyatTalab,1960,### $ الحسين بن علي بن الحسين,0660IbnCadim.BughyatTalab
