word_3,word_2,word_1,book_1,book_2,book_3,book_4,book_5,row_id,cit,book_no,uri_other,word_start,word_end,extend,new_uri
السبيعي,إسحاق,أبو,0571IbnCasakir.TarikhDimashq,0748Dhahabi.TadhhibTahdhib,,,,1628,,,,,,,
السبيعي,إسحاق,أبو,0748Dhahabi.SiyarAclamNubala',0748Dhahabi.TadhhibTahdhib,0748Dhahabi.TarikhIslam',,,1627,,,,,,,
السلطان,إلى,محمدا,0692IbnCabdZahir.RawdZahir,0930IbnIyas.NuzhatUmam,,,,618,0,,,,,,
السلطان,إلى,محمدا,0764IbnShakirKutubi.FawatWafayat,0845Maqrizi.Suluk,,,,617,,,,,,,
الشعر,بعض,فيها,0617IbnTuwayr.NuzhatMuqlatayn,0845Maqrizi.MusawwadatMawaciz,0874IbnTaghribirdi.NujumZahira,,,1063,0,,,,,,
الشعر,بعض,فيها,0617IbnTuwayr.NuzhatMuqlatayn,0845Maqrizi.MusawwadatMawaciz,,,,1061,,,,,,,
الشعر,بعض,فيها,0617IbnTuwayr.NuzhatMuqlatayn,0874IbnTaghribirdi.NujumZahira,,,,1062,,,,,,,
الصامت,بن,عبادة,0257IbnCabdHakam.FutuhMisr,0634AbuRabicHimyari.Iktifa,,,,746,0,,,,,,
الصامت,بن,عبادة,0257IbnCabdHakam.FutuhMisr,,,,,743.744.745,,,,,,,
الصحاح,في,الجوهري,0668IbnAbiUsaybica.CuyunAnba,,,,,1595,,,,,,,
الصفاء,من,إنه,0465IbnHawazinQushayri.RisalaQushayriyya,,,,,1606,0,,,,,,
الصلاحية,السيرة,جامع,0665AbuShama.Rawdatayn,,,,,1459,1,1,,,,,
الصوف,من,أنه,0465IbnHawazinQushayri.RisalaQushayriyya,,,,,1606,0,,,,,,
الطاهر,أبو,الحافظ,0576AbuTahirSilafi.MucjamSafar,,,,,1368,1,1,,,,5,
الطبري,جعفر,أبو,0310Tabari.Tarikh,0597IbnJawzi.Muntazam,,,,444,1,1,,,,,
الطبري,جعفر,أبو,0310Tabari.Tarikh,,,,,443,,,,,,,
الطبري,جعفر,أبو,0732AbuFida.MukhtasarFiAkhbar,0845Maqrizi.KhabarCanBashar,,,,445,,,,,,,
