parent_cl,par_begin,par_len,level_1,per_of_par,level_2,per_of_l1,level_3,per_of_l2,ms,parent_cl_book,level_1_book,level_2_book,level_3_book
25769935062,891,669,25769935065,31.54,0,0,0,0,67,['0930IbnIyas.NuzhatUmam'],['0350MuhammadKindi.FadailMisr'],No Cluster,No Cluster
34359881435,1,940,34359881441,73.83,34359881440,26.08,34359881438,51.75,68,['0930IbnIyas.NuzhatUmam'],['0814IbnZayyat.KawakibSayyara'],['0692IbnCabdZahir.RawdaBahiyya'],['0350MuhammadKindi.FadailMisr']
34359881436,941,661,25770021040,32.98,0,0.0,0,0.0,68,['0930IbnIyas.NuzhatUmam'],['0911Suyuti.HusnMuhadara'],No Cluster,No Cluster
146028964430,1,875,25770021038,78.51,0,0,0,0,69,"['0930IbnIyas.BadaicZuhur', '0930IbnIyas.NuzhatUmam']",['0814IbnZayyat.KawakibSayyara'],No Cluster,No Cluster
146028964430,1,875,146028964436,21.49,0,0,0,0,69,"['0930IbnIyas.BadaicZuhur', '0930IbnIyas.NuzhatUmam']",['0911Suyuti.HusnMuhadara'],No Cluster,No Cluster
86544,876,663,86546,32.58,0,0,0,0,69,['0930IbnIyas.NuzhatUmam'],['0600PseudoMascudi.AkhbarZaman'],No Cluster,No Cluster
86543,1,1058,8590080982,17.11,0,0.0,0,0,70,['0600PseudoMascudi.AkhbarZaman'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster
86543,1,1058,86545,61.53,8590080981,35.48,0,0,70,['0600PseudoMascudi.AkhbarZaman'],['0600PseudoMascudi.AkhbarZaman'],['0487AbuCubaydBakri.MasalikWaMamalik'],No Cluster
8590080979,964,594,8590080980,42.76,0,0.0,0,0,70,['0600PseudoMascudi.AkhbarZaman'],No Data,No Cluster,No Cluster
335007534393,5,1144,188978899443,66.26,111669178328,60.03,0,0,71,['0930IbnIyas.NuzhatUmam'],['0596IbnWasifShah.MukhtasarCajaibDunya'],['0487AbuCubaydBakri.MasalikWaMamalik'],No Cluster
335007534393,5,1144,335007753621,64.42,0,0.0,0,0,71,['0930IbnIyas.NuzhatUmam'],['0600KatibMarrakushi.Istibsar'],No Cluster,No Cluster
42949974841,626,951,137439112671,66.25,0,0.0,0,0,71,['0487AbuCubaydBakri.MasalikWaMamalik'],['0487AbuCubaydBakri.MasalikWaMamalik'],No Cluster,No Cluster
317827763611,1,1602,317827763612,45.51,0,0,0,0,72,['0930IbnIyas.NuzhatUmam'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster
317827763611,1,1602,317827763614,11.74,0,0,0,0,72,['0930IbnIyas.NuzhatUmam'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster
317827763611,1,1602,128849062731,28.21,0,0,0,0,72,['0930IbnIyas.NuzhatUmam'],['0600PseudoMascudi.AkhbarZaman'],No Cluster,No Cluster
68719797859,70,1443,68719797865,10.19,0,0.0,0,0,73,['0930IbnIyas.NuzhatUmam'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster
68719797859,70,1443,68719797860,60.71,68719797864,27.74,0,0,73,['0930IbnIyas.NuzhatUmam'],['0733Nuwayri.NihayatArab'],['0733Nuwayri.NihayatArab'],No Cluster
68719797859,70,1443,68719797861,50.31,68719797863,39.67,0,0,73,['0930IbnIyas.NuzhatUmam'],['0600PseudoMascudi.AkhbarZaman'],['0600PseudoMascudi.AkhbarZaman'],No Cluster
163209081116,153,1400,111669163355,39.86,0,0,0,0,74,['0930IbnIyas.NuzhatUmam'],['0596IbnWasifShah.MukhtasarCajaibDunya'],No Cluster,No Cluster
163209081116,153,1400,111669163356,38.5,0,0,0,0,74,['0930IbnIyas.NuzhatUmam'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster
111669174232,15,1134,111669174234,18.25,0,0.0,0,0,75,['0733Nuwayri.NihayatArab'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster
124475,316,1255,111669174233,45.74,189781,73.0,0,0,75,['0930IbnIyas.NuzhatUmam'],['0596IbnWasifShah.MukhtasarCajaibDunya'],['0733Nuwayri.NihayatArab'],No Cluster
189779,1,1176,124478,25.0,0,0,0,0,76,['0733Nuwayri.NihayatArab'],['0930IbnIyas.NuzhatUmam'],No Cluster,No Cluster
189779,1,1176,206158489916,15.65,0,0,0,0,76,['0733Nuwayri.NihayatArab'],['0930IbnIyas.NuzhatUmam'],No Cluster,No Cluster
34359927448,1,1381,206158489914,65.75,0,0,0,0,77,['0733Nuwayri.NihayatArab'],['0930IbnIyas.NuzhatUmam'],No Cluster,No Cluster
34359927451,926,609,68719861137,23.65,0,0,0,0,77,['0733Nuwayri.NihayatArab'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster
51539915180,1,1084,17180053905,54.89,0,0,0,0,78,['0930IbnIyas.NuzhatUmam'],['0596IbnWasifShah.MukhtasarCajaibDunya'],No Cluster,No Cluster
51539915180,1,1084,51539915183,31.0,0,0,0,0,78,['0930IbnIyas.NuzhatUmam'],['0600PseudoMascudi.AkhbarZaman'],No Cluster,No Cluster
